Label,MBI,MNDWI,NDVI,SAVI
4,0.126982,0.169975,0.00758874,0.0188462
4,0.124083,0.210911,0.0105525,-0.0382066
4,0.133291,0.242475,-0.0122137,-0.0848518
4,0.15938,0.0860998,0.0397079,0.00989211
4,0.132496,0.123827,-0.00526462,0.00569928
4,0.161696,0.060062,0.0346878,0.0442145
4,0.160562,-0.0236254,0.0738972,0.12632
4,0.161834,-0.0277868,0.0518941,0.123919
4,0.162841,-0.0380867,0.0581206,0.130571
4,0.098635,0.193207,-0.0234009,0.0349836
4,0.131085,0.223637,-0.00899604,-0.0339824
4,0.120039,0.151457,-0.00178412,0.0300806
4,0.118096,0.181535,-0.0185971,0.0019111
4,0.0813427,0.176951,-0.0285884,0.0848796
4,0.124392,0.122438,0.00256881,0.0485591
4,0.126481,0.166441,-0.000691085,-0.00628353
4,0.132349,0.123247,0.05666,0.0685527
4,0.11607,0.100541,0.0110585,0.0881577
4,0.146406,0.210854,0.00897022,-0.0418874
4,0.116418,0.16724,-0.00326223,0.0328875
4,0.133098,0.150265,-0.0146691,-0.00675417
4,0.141626,0.182983,-0.0236622,-0.0411006
4,0.122446,0.208179,-0.0534868,-0.0534853
4,0.13192,0.202007,-0.0262591,-0.0329801
4,0.160928,0.0615653,0.0302283,0.0309047
4,0.13023,0.252646,-0.0183727,-0.147191
4,0.12141,0.201074,-0.00134953,-0.0237167
4,0.131996,0.150257,0.0105034,0.011554
4,0.141673,0.0203221,0.0731836,0.157747
4,0.131694,0.0734455,0.0348634,0.0884704
4,0.143328,0.0581071,-0.0101885,0.0465279
4,0.137847,0.0653545,0.0454175,0.0707236
4,0.132931,0.172401,-0.0217803,-0.0111225
4,0.14563,0.149215,-0.0195035,-0.042257
4,0.15722,0.0473662,0.0455568,0.0846638
4,0.134207,0.155334,-0.0138365,-0.00717355
